Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Rider Fare Acceptance Rate,Driver Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Driver Cancellation Rate,User Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
Shakthi Ganapathi Nagar,108808,107992,72959,64251,63247,45866,0.993,0.6759999999999999,0.8809999999999999,0.9840000000000001,17359,27.4%,0.154,0.11900000000000001,0.42200000000000004,5773691,6.99,125.88,320770
Binnipete,155819,152539,113496,78952,78224,44944,0.9790000000000001,0.7440000000000001,0.696,0.991,33266,42.5%,0.263,0.16,0.28800000000000003,5618358,6.8,125.01,305745
Herohalli,118245,117212,71329,63242,62300,44176,0.991,0.609,0.887,0.985,18109,29.1%,0.155,0.134,0.374,6402893,8.31,144.94,367242
Venkateshpura,189233,183553,145836,79979,79491,44021,0.97,0.795,0.5479999999999999,0.9940000000000001,35456,44.6%,0.306,0.139,0.233,4957991,5.82,112.63,256143
Agrahara Dasarahalli,104266,103556,67699,60052,59321,43567,0.993,0.654,0.887,0.988,15747,26.5%,0.13699999999999998,0.127,0.418,5734771,7.35,131.63,320072
Nandini Layout,107584,106464,72304,60926,60039,41803,0.99,0.679,0.843,0.985,18224,30.4%,0.16699999999999998,0.135,0.389,5199664,6.91,124.38,288796
Puneet Rajkumar,106734,105695,71702,60191,59448,40640,0.99,0.6779999999999999,0.8390000000000001,0.988,18795,31.6%,0.177,0.13699999999999998,0.381,4808338,6.52,118.32,264867
Ranadheera Kanteerava,120140,118316,77480,61797,60923,40118,0.985,0.655,0.7979999999999999,0.986,20791,34.1%,0.192,0.147,0.33399999999999996,4746827,6.49,118.32,260351
Cottonpete,175933,170478,132836,83662,82903,40039,0.9690000000000001,0.779,0.63,0.991,42851,51.7%,0.33399999999999996,0.18100000000000002,0.228,5352483,7.37,133.68,295048
Rajagopal Nagar,120851,117919,83770,59990,59274,39604,0.976,0.71,0.716,0.988,19661,33.2%,0.193,0.138,0.32799999999999996,5159246,7.27,130.27,287767
Hongasandra,160545,154278,125392,62690,62041,36522,0.961,0.813,0.5,0.99,25510,41.1%,0.264,0.146,0.22699999999999998,5421300,8.12,148.44,296628
Azad Nagar,110043,107770,79417,57191,56493,34471,0.9790000000000001,0.737,0.72,0.988,22000,38.9%,0.253,0.135,0.313,4134417,6.57,119.94,226430
Dayananda Nagar,94063,92493,67827,51986,51485,34067,0.983,0.733,0.7659999999999999,0.99,17409,33.8%,0.198,0.138,0.36200000000000004,3797305,6.01,111.47,204815
Nayandahalli,108435,106915,69495,52630,52039,32555,0.986,0.65,0.757,0.9890000000000001,19469,37.4%,0.215,0.157,0.3,4579061,7.83,140.66,254940
Mudalapalya,82437,81834,51632,44916,44264,30415,0.993,0.631,0.87,0.985,13839,31.3%,0.172,0.139,0.369,3801456,6.92,124.99,210480
Jai Maruthinagara,82740,81856,55625,45611,44904,29284,0.9890000000000001,0.68,0.82,0.9840000000000001,15612,34.8%,0.20800000000000002,0.138,0.354,3419231,6.4,116.76,187562
Mallasandra,91314,89196,64382,44178,43595,28548,0.977,0.722,0.6859999999999999,0.987,15039,34.5%,0.213,0.13,0.313,3518658,6.77,123.25,193308
Sunkadakatte,84385,83183,53531,43804,43247,28061,0.986,0.644,0.818,0.987,15171,35.1%,0.19899999999999998,0.15,0.33299999999999996,3624921,7.19,129.18,201762
Veera Sindhura Lakshamana,83608,82377,53220,42300,41630,27108,0.985,0.6459999999999999,0.795,0.9840000000000001,14515,34.9%,0.19699999999999998,0.15,0.324,3336389,6.83,123.08,185011
Muneshwara Nagar,116360,113358,85939,48628,48304,26381,0.9740000000000001,0.758,0.5660000000000001,0.993,21911,45.4%,0.297,0.154,0.22699999999999998,3124534,6.22,118.44,164214
Kaveripura,71676,70732,47518,38906,38532,24471,0.987,0.672,0.8190000000000001,0.99,14060,36.5%,0.221,0.142,0.341,3299369,7.57,134.83,185186
Hegganahalli,74477,73304,48019,37846,37319,23829,0.9840000000000001,0.655,0.7879999999999999,0.986,13483,36.1%,0.21,0.149,0.32,3171344,7.44,133.09,177311
Vrisabhavathi Nagar,66789,66071,42360,35204,34789,22502,0.9890000000000001,0.6409999999999999,0.831,0.988,12279,35.3%,0.21,0.141,0.337,2751466,6.75,122.28,151985
Rajeshwari Nagar,71610,70281,45532,35223,34547,22060,0.981,0.648,0.774,0.981,12478,36.1%,0.21100000000000002,0.149,0.308,2672984,6.69,121.17,147535
S K Garden,99366,96173,76312,39342,39150,21014,0.968,0.7929999999999999,0.516,0.995,18123,46.3%,0.314,0.147,0.21100000000000002,2579460,6.48,122.75,136101
Jagajivanaram Nagar,72393,70826,51690,35734,35276,18910,0.978,0.73,0.691,0.987,16362,46.4%,0.292,0.171,0.261,2524789,7.4,133.52,139923
Chalavadipalya,67969,66172,48505,31520,31275,17502,0.9740000000000001,0.733,0.65,0.992,13763,44.0%,0.27699999999999997,0.161,0.257,2309292,7.21,131.94,126275
Lakshmi Devi Nagar,49693,49057,31698,25720,25398,16502,0.987,0.6459999999999999,0.8109999999999999,0.987,8891,35.0%,0.20600000000000002,0.14300000000000002,0.332,2015234,6.74,122.12,111198
Bapuji Nagar,58782,57860,39734,29011,28794,14801,0.9840000000000001,0.687,0.73,0.993,13988,48.6%,0.332,0.152,0.252,1831558,6.7,123.75,99196
Padarayanapura,60221,58945,41950,27942,27570,14174,0.9790000000000001,0.7120000000000001,0.6659999999999999,0.987,13387,48.6%,0.302,0.182,0.235,1991125,7.62,140.48,108059
Kempapura Agrahara,44529,43726,29973,21612,21422,12286,0.982,0.685,0.721,0.991,9133,42.6%,0.265,0.16,0.276,1431519,6.31,116.52,77502
Devaraj Urs Nagar,53349,52209,36719,24720,24449,11536,0.9790000000000001,0.703,0.6729999999999999,0.9890000000000001,12909,52.8%,0.342,0.184,0.21600000000000003,1503192,7.03,130.3,81062
Devara Jeevanahalli,36482,35216,27610,13903,13836,5618,0.965,0.784,0.504,0.995,8215,59.4%,0.44,0.152,0.154,769473,7.36,136.97,41367
Bangalore Total,173760347,167143955,135792424,74350872,73411047,46700560,0.9620000000000001,0.812,0.5479999999999999,0.987,26694834,36.4%,0.221,0.142,0.26899999999999996,6737639168,7.79,144.27,363914406
